0-0001|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|23552|255290
0-0002|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|280832|410426
0-0003|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|438528|670266
0-0004|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|693504|986938
0-0005|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|1007104|1251898
0-0006|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|1271552|1494586
0-0007|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|1518080|1721146
0-0008|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|1739776|1990714
0-0009|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|2009600|2147898
0-0010|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|2170368|2492218
0-0011|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|2508544|2766650
0-0012|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|2782464|3027514
0-0013|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|3047168|3358522
0-0014|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|3387136|3635514
0-0015|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|3654400|3949626
0-0016|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|3972352|4256314
0-0017|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|4274432|4532026
0-0018|C:\Users\LENOVO_User\kabooks\Favio Arciniegas\001-don-quijote-de-la-mancha-f-arciniegas-saga-egmont.wav|4543488|4683834
