0-0001|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\001 El violento siglo americano.wav|11008|317498
1-0001|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\001_in_crds_saludACienciaCierta.wav|18176|347194
1-0002|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\001_in_crds_saludACienciaCierta.wav|365056|419642
2-0001|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\001_in_credits_MasAllaDelOrden.wav|11008|261434
3-0001|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\001_in_credits_QueComes.wav|12544|346170
4-0001|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\001_Santiago_Posteguillo_La_noche_en_que_Frankenstein_ley_el_Quijote.wav|9728|303930
5-0001|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\001_Viktor_E_Frankl_En_el_principio_era_el_sentido.wav|13312|306746
6-0001|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|12544|33594
6-0002|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|84480|347706
6-0003|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|359680|581178
6-0004|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|611328|941626
6-0005|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|962048|1050682
6-0006|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|1071360|1366330
6-0007|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|1395968|1624890
6-0008|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|1647616|1752634
6-0009|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|1766656|2030138
6-0010|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|2050304|2193466
6-0011|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|2224896|2465850
6-0012|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|2479872|2636602
6-0013|C:\Users\LENOVO_User\kabooks\Javier_Ruiz\002 El violento siglo americano.wav|2657280|2980154
